,0
admit_year,0.2986023009567133
admit_age,0.21374945727261616
intime_hour,0.18014459257239826
intime_weekday,0.13866645262061006
gender_M,0.023597272372822227
gender_F,0.02273779969981025
insurance_Medicare,0.021731624777644735
insurance_Private,0.020824892510761736
insurance_Medicaid,0.017276144429667364
admission_type_EW EMER.,0.01014763135945253
admission_type_OBSERVATION ADMIT,0.009804692996103653
age_group_51-70,0.006130177393597733
admission_type_DIRECT EMER.,0.005901950940264821
age_group_31-50,0.005756454267835271
insurance_Other,0.005053329605037384
admission_type_URGENT,0.0037746250629483737
age_group_71+,0.003724083613408959
insurance_missing,0.0036987926402343723
age_group_18-30,0.0030373581328450258
admission_type_ELECTIVE,0.001838101990194522
admission_type_SURGICAL SAME DAY ADMISSION,0.0017169437692780866
admission_type_EU OBSERVATION,0.0013890706034981916
admission_type_DIRECT OBSERVATION,0.0006238096356489284
age_group_missing,5.530820727336541e-05
admission_type_AMBULATORY OBSERVATION,1.2158945117070683e-05
insurance_No charge,4.973624217698547e-06
